"autoctr","Stockcode","C_Code","SpecCode","CountryRefNo","AlsoRef","Status","CurrentPresence","Freshwater","Brackish","Saltwater","Land","Comments","Abundance","RefAbundance","Importance","RefImportance","ExVesselPrice","Aquaculture","RefAquaculture","LiveExportOrg","LiveExport","RefLiveExport","Game","Bait","Regulations","RefRegulations","Threatened","CountrySubComp","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","country"
75964,5649,"704",5390,58534,NA,"native","present",0,0,1,0,"Known from Nha Trang (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-07,NA,2007-08-07,NA,NA,NA,"Viet Nam"
75992,5650,"704",5391,9706,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and central Vietnam (Ref. 9706); also from Nha Trang and Cu Lao Cau (Ref. 58534).","common (usually seen)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-07,1472,2007-08-07,NA,NA,NA,"Viet Nam"
76035,5651,"704",5392,58534,NA,"native","present",0,0,1,0,"Known from Hon Me, Cu Lao Cham, Nha Trang and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,1472,2007-08-07,393,2007-12-19,NA,NA,NA,"Viet Nam"
76077,5652,"704",5393,58534,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham and Nha Trang (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-07,NA,2007-08-07,NA,NA,NA,"Viet Nam"
76119,5653,"704",5394,9706,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 9706), Nha Trang and Spratly islands (Ref. 58534).","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-10,1472,2007-08-07,NA,NA,NA,"Viet Nam"
74874,5655,"704",5396,9706,NA,"native","present",0,0,1,0,"Known from Central Vietnam (Ref. 9706).","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-07,1472,2006-11-09,NA,NA,NA,"Viet Nam"
76150,5656,"704",5397,58534,NA,"native","present",0,0,1,0,"Known from Nha Trang (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-07,NA,2007-08-07,NA,NA,NA,"Viet Nam"
76201,5657,"704",5398,9706,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and Central Vietnam (Ref. 9706); also from Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao and Spratly islands (Ref. 58534).  Museum: CAS 39875 (as <i>Synodus englemani, Bay of Nhatrang).  Also Ref. 5515.","fairly common (chances are about 50%)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,14,1994-09-07,1472,2007-08-07,NA,NA,NA,"Viet Nam"
76246,5658,"704",5399,9705,NA,"native","present",0,0,1,0,"Known from the Coast of Central and Southern Vietnam (Ref. 9705); also from the Spratly Islands (Ref. 58534).","scarce (very unlikely)",9705,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-08-18,1472,2007-08-06,NA,NA,NA,"Viet Nam"
76281,5659,"704",5400,9705,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and Coast of Central Vietnam (Ref. 9705).","scarce (very unlikely)",9705,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-08-18,1472,2006-11-07,NA,NA,NA,"Viet Nam"
76354,5661,"704",5402,58534,NA,"native","present",0,0,1,0,"Known from Nha Trang and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-09-06,NA,2007-09-06,NA,NA,NA,"Viet Nam"
76449,5663,"704",5404,9706,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and Central Vietnam (Ref. 9706); also from Quang Ninh-Cat Ba and Nha Trang (Ref. 58534).","common (usually seen)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-08,1472,2007-08-13,NA,NA,NA,"Viet Nam"
76485,5665,"704",5406,9706,NA,"native","present",0,0,1,0,"Known from Central Vietnam (Ref. 9706), Cu Lao Cham, Nha Trang, Cu Lao Cau and An Thoi (Ref. 58534).","scarce (very unlikely)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-08,1472,2007-08-08,NA,NA,NA,"Viet Nam"
76544,5667,"704",5408,9706,NA,"native","present",0,0,1,0,"Known from Quang Ninh-Cat Ba, Hon Me, Nha Trang and Spratly islands (Ref. 58534).","common (usually seen)",9706,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1995-11-08,1472,2007-08-08,NA,NA,NA,"Viet Nam"
76625,5673,"704",5414,3207,NA,"native","present",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,3,1992-04-15,1,1994-12-23,NA,NA,NA,"Viet Nam"
77126,5718,"704",5450,58534,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang, An Thoi and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-14,NA,2007-08-14,NA,NA,NA,"Viet Nam"
78377,5809,"704",5520,46893,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin, central and southern Vietnam (Ref. 12846); also from Quang Ninh-Cat Ba (Ref. 58534).  Also Ref. 9772.","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,34,1995-09-26,1472,2007-08-10,NA,NA,NA,"Viet Nam"
78420,5813,"704",5524,123820,NA,"misidentification","absent",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"live food",34166,0,0,NA,NA,0,0,14,1992-10-14,14,2021-06-29,NA,NA,NA,"Viet Nam"
78922,5845,"704",5555,58534,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang, Con Dao, An Thoi and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-16,NA,2007-08-16,NA,NA,NA,"Viet Nam"
78977,5846,"704",5556,88079,NA,"misidentification","absent",0,0,1,0,"Reported in Ref. 58534, but most probably referring to <i>Chlorurus spilurus<i> (Ref. 86689, 88079).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-15,14,2018-08-14,NA,NA,NA,"Viet Nam"
76665,5682,"704",5422,36625,37770,"native","present",1,1,0,0,"Occurs in the Mekong River tributaries. Also Ref. 37770.",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,21,1994-02-10,309,2004-03-11,10,2001-08-17,NA,"Viet Nam"
76718,5687,"704",5425,2682,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1992-07-29,1472,2007-09-06,NA,NA,NA,"Viet Nam"
76739,5691,"704",5427,27732,2682,"native","present",1,1,0,0,"Occurs in the Mekong basin (Ref. 27732). Also Ref. 2682, 36654.",NA,NA,"commercial",NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1992-08-10,10,2001-08-09,10,2001-08-09,NA,"Viet Nam"
76788,5701,"704",5436,7050,NA,"native","present",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,2,1994-08-16,1,2000-11-21,NA,NA,NA,"Viet Nam"
76795,5702,"704",5437,36654,NA,"native","present",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2000-11-28,NA,2000-11-28,NA,NA,NA,"Viet Nam"
76843,5708,"704",5443,46893,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and central Vietnam (Ref. 12846); also from Quang Ninh-Cat Ba, Hon Me, Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao and An Thoi (Ref. 58534).","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2003-07-03,1472,2007-08-13,NA,NA,NA,"Viet Nam"
76909,5709,"704",5444,58534,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-08,NA,2007-08-08,NA,NA,NA,"Viet Nam"
76944,5710,"704",5445,58534,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang, Cu Lao Cau and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-15,NA,2007-08-15,NA,NA,NA,"Viet Nam"
